AffiliateProgram,Product_type,Commission,Cookie,Signup,Description,Categories
Carbonite Affiliate Program,Digital Service,25% - 35% Per Sale,90 Days,https://carbonite.portal.relayware.com/?eid=referralapplication&utm_source=getlasso,Carbonite offers cloud backup and data protection services.,"Business, High-Paying"
Restored 316 Designs Affiliate Program,Digital Product,20% Per Sale,60 Days,https://restored316designs.com/affiliates/,Restored 316 is the top source for professionally designed & premier feminine WordPress Themes using the Genesis Framework serving tens of thousands of happy customers.,Business
OptimizePress Affiliate Program,Digital Product,40% Per Sale,Unknown,https://help.optimizepress.com/article/654-how-can-i-become-an-affiliate-and-promote-optimizepress,"OptimizePress makes it easy to create high-converting landing pages, sales pages, and membership portals.",Software
TemplateMonster Affiliate Program,Digital Product,10% - 30% Per Sale,365 Days,https://www.templatemonster.com/affiliate-program.php,"TemplateMonster offers various web templates, from Wordpress to different CMS options.","Blogger, Business, Graphic Design, High-Paying, Software, Video, WordPress"
Organic Wholesale Club Affiliate Program,Physical Product,10% Per Sale,Unknown,http://organicwholesaleclub.com/affiliate.html,Organic Wholesale Club ovvers specialty organic foods and other ecofriendly items.,Food
E3Live Affiliate Program,Physical Product,20% Per Sale,90 Days,https://www.e3live.com/s-776-affiliate-program-sign-up-in.aspx,"E3Live is a serious, cutting-edge leader in nutrition and health.",Health and Wellness
Food52 Affiliate Program,Physical Product,6% Per Sale,7 Days,https://food52.com/affiliate,"Food52 believes that great food isn't just about ingredients, it's about everything that makes a meal, including the dinnerware and tools.",Food
Sur La Table Affiliate Program,Physical Product,7% Per Sale,30 Days,https://www.surlatable.com/common/cmpyAffiliates.jsp,"Since 1972, Sur La Table has been a second home to cooks--a place to find culinary tools from around the world.",Food
Excalibur Dehydrator Affiliate Program,Physical Product,10% Per Sale,Unknown,https://excaliburdehydrator.com/pages/affiliate,"Excalibur has been manufacturing food dehydrators since 1973. Make dry fruits and vegetables, dehydrate meat for jerky, make your own granola, and much more!",Food
NatureBox Affiliate Program,Physical Service,$15 Per Sale,60 Days,https://naturebox.com/affiliates,"NatureBox sells boxes of smart, delicious snacks.",Food
Wine of the Month Club Affiliate Program,Physical Service,10% - 15% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=47747&utm_source=getlasso,Wine of the Month Club is a mail-order wine club that has been running since 1972.,Food
Nonna Box Affiliate Program,Physical Service,10% - 20% Per Sale,90 Days,https://account.shareasale.com/shareasale.cfm?merchantID=64524&utm_source=getlasso,"Nonna Box is a box subscription. Each month, it features a different Italian region and six traditional products from producers of that region.",Food
HelloFresh Affiliate Program,Physical Service,40% Per Lead,14 Days,https://www.hellofresh.com/affiliates/,HelloFresh delivers ingredients and recipes to your doorstep every week.,"Cooking, Food, High-Paying"
Graze Affiliate Program,Physical Service,$2 Per Sale,14 Days,https://www.flexoffers.com/affiliate-programs/graze-affiliate-program/,Graze wants to help people snack better and show them that it does not have to come at the sacrifice of quality or taste.,Food
Butcher Box Affiliate Program,Physical Service,$15 Per Lead,30 Days,https://www.accelerationpartners.com/affiliate-programs/butcherbox/,"ButcherBox provides the highest quality and ethically sourced meats, conveniently delivered to your doorstep!",Food
Urthbox Affiliate Program,Physical Service,$17 Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=47975&utm_source=getlasso,"UrthBox is a monthly snack subscription company available in Classic, Gluten-Free, Vegan, and Diet box options.",Food
Angels’ Cup Affiliate Program,Physical Service,$5 Per Sale,60 Days,https://account.shareasale.com/shareasale.cfm?merchantID=62290&utm_source=getlasso,"Angels' Cup is an online coffee tasting club that delivers 100% arabica, single-origin coffees, from top ""third-wave"" roasters.",Food
Sun Basket Affiliate Program,Physical Service,$20 Per Sale,30 Days,https://sunbasketaffiliates.tumblr.com/about,"Sun Basket is a healthy meal kit service that delivers organic and sustainable ingredients and easy, delicious recipes for cooking at home.",Food
Pinch of Yum Affiliate Program,Digital Product,50% Per Sale,6 Months,https://pinchofyum.com/affiliates,"Pinch of Yum offers an ebook called Tasty Food Photography. As the name implies, it's an ebook about taking good food photos.","Cooking, Food, High-Paying"
Learn Cake Decorating Online Affiliate Program,Digital Product,30% - 50% Recurring,Varies,https://www.learncakedecoratingonline.com/affiliate-program/,LCDO offers courses and ebooks on how to decorate cakes.,"Art, Cooking, Education, Food, High-Paying, Recurring"
Organize Yourself Skinny Affiliate Program,Digital Product,50% Per Sale,Unknown,https://www.e-junkie.com/affiliates/?cl=114200&ev=25d53b7e48&utm_source=getlasso,Organize Yourself Skinny is an ebook and 4-week meal plan to help you create a healthier lifestyle and lose weight.,"Food, Health and Wellness, High-Paying, Weight Loss"
Smart Kitchen Affiliate Program,Digital Product,30% Recurring,Unknown,https://www.smartkitchen.com/affiliates-sales-success,"At Smart Kitchen, the company teaches members to think and cook like chefs using videos, images, charts, text, and novel teaching concepts.","Cooking, Education, Food, High-Paying, Recurring"
Simply Convivial Affiliate Program,Digital Product,30% Per Sale,90 Days,https://learn.simplyconvivial.com/affiliate,"Simply Convivial's goal is to help people organize their attitude and life. Get the direction and accountability you need to manage your home with satisfaction and consistency.
","Health and Wellness, Personal Development"
California Tea House Affiliate Program,Physical Product,10% Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=24631&utm_source=getlasso,"California Tea House is a gourmet loose leaf tea company that carries the highest grade loose leaf tea and custom, flavored tea blends.","Food, Herbal, Tea"
Gourmet Food Store Affiliate Program,Physical Product,10% Per Sale,60 Days,https://www.gourmetfoodstore.com/affiliate-program.aspx,GourmetFoodStore.com is the online place to shop for delicious and high quality gourmet food gifts and specialty items.,Food
Coffee Blenders Affiliate Program,Physical Product,15% Per Sale,60 Days,https://www.avantlink.com/programs/13681/coffee-blenders-affiliate-program/,"Coffee Blenders is the first-ever line of clinically supported, all-natural coffees, compatible with most single-serve brewing systems.","Coffee, Food, Tea"
Hint Water Affiliate Program,Physical Product,20% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=55630&utm_source=getlasso,"Infused with fruit flavors, Hint’s healthy flavored water is a great alternative to sugary drinks while still being delicious!",Food
aBaby.com Affiliate Program,Physical Product,8% Per Sale,45 Days,https://www.ababy.com/info/affiliates.asp,aBaby.com focuses mainly on baby furniture but offers a few other things as well.,All-Around
Nuts.com Affiliate Program,Physical Product,2% - 8% Per Sale,30 Days,https://nuts.com/lp/affiliate,"Nuts.com offers more than 3,000 different products, ranging from indulgent treats to gifts to healthy foods for cooking and baking to snacks.",Food
Tai Lopez Affiliates Affiliate Program,Digital Product,50% Per Sale,Unknown,https://www.tailopez.com/affiliate.php,"Tai Lopez is a social media influencer, entrepreneur, and investor with an established brand that reaches millions of people a day. He offers two products: 67 Steps and Social Media Marketing Agency (SMMA). 67 Steps is a personal mentoring program that teaches you how to cultivate the mindset required for success. SMMA teaches how to start a social media marketing agency.","Business, Personal Development"
Constant Contact Affiliate Program,Digital Service,Varies,120 Days,https://www.constantcontact.com/partners/affiliate/apply,"Constant Contact offers powerful email marketing tools for small businesses, bloggers, and entrepreneurs. Among other things, users of Constant Contact can use the tools to create Instagram and Facebook Ads, automate their email marketing campaigns, or target new eCommerce customers and send follow-up emails to increase revenue to their online stores.","Business, Email Marketing, Internet Marketing, SaaS, Small Business, Software"
Kajabi Affiliate Program,Digital Service,30% Recurring,30 Days,https://partners.kajabi.com/,"Kajabi is an all-in-one platform that lets users create online courses, launch marketing campaigns, build landing pages, and design the perfect website.","Business, Course Builder, Education, High-Paying, Influencer, Recurring, SaaS, Software"
Coursera Affiliate Program,Digital Product,Up to 45% Per Sale,30 Days,https://about.coursera.org/affiliates,"Coursera offers over 1,000 courses and specializations ranging anywhere from Digital Marketing to Applied Data Science and Personal Development. Each course consists of pre-recorded videos, puzzles, and assignments.","Education, Personal Development, Writing"
Volusion Affiliate Program,Digital Service,200% Per Lead,45 Days,https://www.volusion.com/become-a-partner,"Volusion is an eCommerce solution that enables small businesses to create, manage, and expand their online stores. They provide customers with exports to help them every step of the way, including help with domain purchase, web design, cart integration, SEO, and security.","Business, High-Paying, SaaS, Software"
GreenGeeks Affiliate Program,Digital Service,Varies,30 Days,https://www.greengeeks.com/affiliates/,"GreenGeeks, an eco-friendly, secure web hosting platform, allows you to earn up to $100 per sale. They have a tiered program that pays generously — including $50 for just one sale, and $100 for six or more. Additionally, the company provides a selection of creatives, content, and banners to ensure you're proud of the link or banner you include on your website or blog.",Web Hosting
Hammacher Schlemmer Affiliate Program,Physical Product,8% Per Sale,30 Days,https://www.hammacher.com/editorial/affiliateprogram,"Hammacher Schlemmer is America's longest-running catalog with a lifetime of over 150 years and continues to successfully sell items ranging from electronics to travel to outdoor living. Additionally, the company offers an impressive affiliate program with the potential to earn incredibly high commissions.",All-Around
Spocket Affiliate Program,Physical Product,20% - 30% Per Sale,90 Days,https://www.spocket.co/affiliates,"Spocket is a dropshipping supplier, wholesaler, and distributor of high-quality United States and European products. They enable entrepreneurs to choose products to sell from thousands of dropshipping suppliers around the world. They also offer an incredibly impressive affiliate program — you can make up to $450 for each customer you find for Spocket, and you'll continue to collect commission off your referral's Spocket account as long as they remain a customer.","Business, High-Paying"
Scentbird Affiliate Program,Physical Product,$14 Per Sale,45 Days,https://app.impact.com/campaign-campaign-info/Scentbird.brand,"Born out of frustration with expensive perfume bottles collecting dust on a dresser or cabinet, Scentbird offers a delivery subscription service that gives you access to a 30-day supply of over 450 top designer fragrances. The subscription service lets you ""date"" fragrances before committing to ""marrying"" them.","Beauty, Fragrance"
